featid,tile,cells_5,tr_ka_5m_50m_21_kaspSlp_across
9907,3/4,246,0.016282
9908,3/4,23,0.02263
9909,3/4,169,0.055424
9910,3/4,30,0.021317
9911,3/4,8,0.045698
9912,3/4,78,0.042432
9914,3/4,6,0.033627
9915,3/4,36,0.024036
9916,3/4,27,0.026611
9917,3/4,46,0.009227
9918,3/4,9,0.012929
9919,3/4,3,0.028349
9920,3/4,5064,0.034464
9921,3/4,7,0.01966
9922,3/4,39,0.017358
9923,3/4,38,0.055396
9924,3/4,8,0.026613
9925,3/4,29,0.021155
9926,3/4,24,0.024377
9927,3/4,26,0.02848
9928,3/4,30,0.016061
9929,3/4,116,0.021708
9930,3/4,22,0.021169
9931,3/4,7,0.054163
9932,3/4,114,0.026061
9934,3/4,173,0.026493
9936,3/4,78,0.014617
9937,3/4,24,0.00937
9938,3/4,35,0.017729
9939,3/4,39,0.093978
9940,3/4,3,0.027457
9941,3/4,26,0.02644
9942,3/4,3,0.065185
9943,3/4,19,0.036923
9944,3/4,132,0.036508
9945,3/4,33,0.018185
9946,3/4,84,0.011934
9947,3/4,508,0.036582
9948,3/4,367,0.071244
9949,3/4,59,0.035152
9950,3/4,6,0.07336
9951,3/4,174,0.065937
9952,3/4,71,0.029227
9953,3/4,61,0.014754
9954,3/4,47,0.053983
9955,3/4,468,0.052076
9956,3/4,1,0.037872
9957,3/4,555,0.028385
9958,3/4,350,0.017969
9959,3/4,3,0.026874
9960,3/4,2,0.04337
9961,3/4,85,0.040243
9962,3/4,107,0.026698
9963,3/4,99,0.02779
9964,3/4,33,0.028177
9965,3/4,185,0.024798
9966,3/4,394,0.018604
9967,3/4,903,0.046851
9968,3/4,7,0.059232
9969,3/4,41,0.045797
9970,3/4,221,0.018035
9971,3/4,361,0.025841
9972,3/4,204,0.052105
9973,3/4,30,0.045408
9974,3/4,13,0.057039
9975,3/4,302,0.047327
9976,3/4,179,0.021645
9977,3/4,18,0.021623
9978,3/4,1,0.022842
9979,3/4,1,0.02101
9980,3/4,33,0.012461
9981,3/4,256,0.018719
9982,3/4,74,0.020651
9983,3/4,63,0.027138
9984,3/4,12,0.01969
9985,3/4,236,0.01286
9986,3/4,66,0.027549
9987,3/4,91,0.068788
9988,3/4,96,0.098577
9989,3/4,156,0.052476
9990,3/4,19,0.048406
9991,3/4,116,0.021997
9992,3/4,12,0.024098
9993,3/4,6,0.04233
9994,3/4,42,0.031019
9995,3/4,19,0.019407
9996,3/4,2,0.025459
9997,3/4,48,0.014758
9998,3/4,3,0.011805
9999,3/4,36,0.021577
10001,3/4,6,0.015416
10003,3/4,211,0.019527
10004,3/4,175,0.016731
10005,3/4,214,0.031407
10006,3/4,22,0.023069
10007,3/4,5,0.012751
10008,3/4,155,0.091879
10009,3/4,286,0.06117
10010,3/4,90,0.056456
10011,3/4,85,0.075072
10012,3/4,364,0.056069
10013,3/4,457,0.024863
10014,3/4,44,0.027721
10015,3/4,26,0.024964
10017,3/4,52,0.03792
10018,3/4,3,0.033786
10019,3/4,160,0.019827
10020,3/4,18,0.013043
10021,3/4,130,0.018583
10022,3/4,116,0.021661
10023,3/4,363,0.010587
10024,3/4,93,0.015756
10025,3/4,33,0.026002
10026,3/4,330,0.015333
10027,3/4,190,0.020982
10028,3/4,13,0.017714
10029,3/4,49,0.030776
10030,3/4,189,0.053627
10031,3/4,264,0.056125
10032,3/4,40,0.080183
10033,3/4,131,0.069271
10034,3/4,23,0.01586
10035,3/4,231,0.056408
10036,3/4,214,0.059684
10037,3/4,3,0.028743
10038,3/4,21,0.028469
10039,3/4,113,0.022257
10040,3/4,7,0.013411
10041,3/4,14,0.015873
10042,3/4,14,0.018207
10043,3/4,79,0.019999
10044,3/4,837,0.031819
10045,3/4,166,0.011847
10046,3/4,170,0.045133
10048,3/4,63,0.067128
10049,3/4,174,0.065473
10050,3/4,9,0.049823
10051,3/4,30,0.078126
10052,3/4,518,0.038052
10053,3/4,22,0.051234
10054,3/4,47,0.041375
10055,3/4,446,0.015631
10056,3/4,25,0.023666
10057,3/4,265,0.019486
10058,3/4,278,0.01142
10059,3/4,174,0.018274
10060,3/4,654,0.04169
10061,3/4,114,0.027698
