featid,tile,cells_5,tr_ka_5m_50m_21_kaspSlp_across
10875,3/4,22,0.123489
10876,3/4,117,0.064912
10877,3/4,612,0.066233
10878,3/4,68,0.061493
10879,3/4,456,0.055315
10880,3/4,57,0.061056
10881,3/4,41,0.064756
10882,3/4,4,0.090132
10883,3/4,155,0.079265
10884,3/4,27,0.11256
10885,3/4,56,0.090975
10886,3/4,6,0.074598
10887,3/4,156,0.101674
10888,3/4,6,0.154156
10889,3/4,692,0.113707
10890,3/4,53,0.133278
10891,3/4,112,0.112168
10892,3/4,255,0.096956
10893,3/4,56,0.104225
10894,3/4,22,0.106514
10896,3/4,3,0.152958
10897,3/4,23,0.208993
10898,3/4,266,0.362525
10899,3/4,58,0.153915
10900,3/4,268,0.305869
10901,3/4,73,0.380944
10902,3/4,166,0.026488
10903,3/4,5,0.045313
10905,3/4,71,0.059637
10907,3/4,49,0.048958
10909,3/4,114,0.029111
10910,3/4,6,0.020338
10911,3/4,40,0.084843
10927,3/4,35,0.156811
10928,3/4,106,0.118903
10931,3/4,25,0.109177
10932,3/4,97,0.087285
10933,3/4,40,0.061799
10934,3/4,97,0.047341
10935,3/4,13,0.047036
10936,3/4,23,0.052867
10937,3/4,5,0.067279
10938,3/4,3,0.074262
10939,3/4,1,0.089628
10940,3/4,110,0.065864
10941,3/4,21,0.073111
10942,3/4,70,0.064441
10943,3/4,66,0.078568
10944,3/4,204,0.08351
10945,3/4,39,0.077347
10946,3/4,33,0.068007
10947,3/4,464,0.065387
10948,3/4,192,0.064876
10949,3/4,3,0.130966
10950,3/4,31,0.098622
10951,3/4,42,0.05774
10952,3/4,9,0.064402
10953,3/4,5,0.058896
10954,3/4,8,0.069411
10955,3/4,56,0.05994
10956,3/4,77,0.053156
10957,3/4,24,0.052133
10958,3/4,80,0.077203
10959,3/4,26,0.090114
10960,3/4,33,0.100959
10961,3/4,3,0.072588
10962,3/4,195,0.078835
10963,3/4,20,0.14147
10964,3/4,17,0.147618
10965,3/4,82,0.11552
10966,3/4,68,0.146779
10967,3/4,183,0.130035
10968,3/4,50,0.114747
10969,3/4,12,0.119825
10970,3/4,7,0.12639
10971,3/4,10,0.152202
10972,3/4,10,0.133769
10973,3/4,44,0.080103
10974,3/4,4,0.104384
10975,3/4,55,0.169258
10976,3/4,108,0.222538
10977,3/4,23,0.172992
10978,3/4,217,0.151605
10979,3/4,179,0.21938
10980,3/4,582,0.309794
10981,3/4,310,0.313543
10982,3/4,22,0.030561
10983,3/4,61,0.084096
10984,3/4,11,0.049193
10985,3/4,18,0.050933
10987,3/4,40,0.050644
10989,3/4,4,0.04089
10990,3/4,84,0.020103
10991,3/4,107,0.061703
10992,3/4,10,0.09964
11009,3/4,3,0.121947
11010,3/4,16,0.113661
11011,3/4,7,0.134653
11012,3/4,38,0.111218
11013,3/4,52,0.132074
11015,3/4,23,0.084676
11016,3/4,41,0.078539
11017,3/4,12,0.090847
11018,3/4,195,0.085757
11019,3/4,1,0.086079
11020,3/4,28,0.07968
11021,3/4,220,0.070328
11022,3/4,44,0.071808
11023,3/4,56,0.066501
11024,3/4,28,0.056102
11025,3/4,346,0.069164
11026,3/4,24,0.053351
11027,3/4,42,0.064327
11028,3/4,156,0.053957
11030,3/4,12,0.079106
11031,3/4,76,0.068731
11032,3/4,19,0.057342
11034,3/4,511,0.078399
11036,3/4,329,0.061348
11037,3/4,57,0.048924
11038,3/4,5,0.061996
11039,3/4,30,0.052447
11040,3/4,4,0.044709
11041,3/4,6,0.043541
11042,3/4,3,0.047105
11043,3/4,27,0.042141
11044,3/4,18,0.069336
11045,3/4,65,0.073039
11046,3/4,109,0.058989
11048,3/4,116,0.098338
11049,3/4,2,0.135254
11050,3/4,222,0.130533
11051,3/4,88,0.129298
11052,3/4,56,0.093728
11053,3/4,99,0.115491
11054,3/4,48,0.100464
11055,3/4,163,0.077107
11056,3/4,70,0.157039
11057,3/4,156,0.087926
11058,3/4,46,0.089228
11059,3/4,940,0.153227
11060,3/4,1882,0.240775
11061,3/4,111,0.074162
11062,3/4,5,0.053476
11063,3/4,131,0.037652
11064,3/4,415,0.029734
11066,3/4,7,0.056334
11067,3/4,5,0.044965
11068,3/4,27,0.042769
11069,3/4,48,0.034841
11070,3/4,3,0.021288
11072,3/4,58,0.024984
11073,3/4,60,0.087795
11074,3/4,35,0.090684
11075,3/4,5,0.041848
11097,3/4,39,0.125019
11098,3/4,33,0.121213
11102,3/4,7,0.0731
11103,3/4,8,0.073809
11104,3/4,12,0.079188
11105,3/4,3,0.068482
11106,3/4,322,0.064631
11107,3/4,21,0.076671
11108,3/4,120,0.062125
11109,3/4,67,0.059612
11110,3/4,5,0.052952
11111,3/4,69,0.066234
11112,3/4,18,0.040655
11113,3/4,82,0.042514
11114,3/4,23,0.076867
11115,3/4,103,0.061786
11116,3/4,79,0.058274
11117,3/4,13,0.072895
11118,3/4,38,0.09021
11120,3/4,24,0.056599
11121,3/4,130,0.068791
11122,3/4,10,0.094848
11123,3/4,41,0.044089
11124,3/4,22,0.021809
11125,3/4,159,0.028572
11126,3/4,15,0.073351
11127,3/4,30,0.061939
11128,3/4,44,0.071267
11129,3/4,3,0.113987
11130,3/4,22,0.113574
11131,3/4,7,0.102595
11133,3/4,39,0.108594
11134,3/4,345,0.101683
11135,3/4,51,0.116848
11136,3/4,11,0.088477
11137,3/4,7,0.155259
11138,3/4,51,0.087264
11140,3/4,37,0.058053
11141,3/4,65,0.101123
11142,3/4,36,0.177809
11143,3/4,19,0.245974
11144,3/4,72,0.233729
11145,3/4,173,0.098713
11146,3/4,93,0.067608
11147,3/4,9,0.070208
11148,3/4,127,0.11534
11149,3/4,188,0.30814
11150,3/4,37,0.081886
11151,3/4,46,0.050078
11152,3/4,15,0.015577
11153,3/4,3,0.038849
11154,3/4,40,0.024772
11155,3/4,13,0.047913
11156,3/4,43,0.042181
11157,3/4,40,0.03577
11158,3/4,16,0.033636
11159,3/4,13,0.024212
11161,3/4,130,0.093754
11162,3/4,19,0.049479
11163,3/4,128,0.064669
11189,3/4,10,0.075103
11190,3/4,69,0.077396
11191,3/4,4,0.093651
11192,3/4,42,0.074027
11193,3/4,27,0.076784
11194,3/4,74,0.078543
11196,3/4,20,0.058495
11197,3/4,11,0.045331
11198,3/4,21,0.051704
11199,3/4,537,0.074682
11200,3/4,36,0.084866
11201,3/4,149,0.083308
11202,3/4,63,0.069621
11204,3/4,57,0.033499
11205,3/4,16,0.060159
11206,3/4,13,0.054202
11207,3/4,17,0.053554
11211,3/4,7,0.111211
11212,3/4,5,0.117994
11213,3/4,2,0.108056
11216,3/4,312,0.104572
11217,3/4,3,0.093716
11218,3/4,66,0.10027
11219,3/4,587,0.106815
11220,3/4,15,0.115239
11221,3/4,8,0.155187
11222,3/4,58,0.1074
11224,3/4,38,0.081121
11225,3/4,43,0.102434
11226,3/4,36,0.268868
11227,3/4,585,0.091866
11228,3/4,11,0.094584
11229,3/4,11,0.092757
11230,3/4,223,0.072185
11231,3/4,171,0.168376
11232,3/4,332,0.098247
11234,3/4,366,0.094816
11235,3/4,56,0.079603
11236,3/4,96,0.097597
11237,3/4,105,0.147624
11238,3/4,142,0.053018
11240,3/4,85,0.031483
11241,3/4,55,0.031527
11242,3/4,31,0.023237
11243,3/4,24,0.042859
11244,3/4,45,0.033541
11245,3/4,48,0.035419
11246,3/4,72,0.042014
11247,3/4,42,0.058753
11278,3/4,16,0.097779
11279,3/4,50,0.071084
11280,3/4,79,0.070803
11281,3/4,91,0.062931
11286,3/4,63,0.082136
11287,3/4,96,0.078427
11288,3/4,54,0.090753
11291,3/4,18,0.02438
11293,3/4,27,0.038943
11294,3/4,31,0.073591
11295,3/4,8,0.056624
11298,3/4,27,0.12729
11299,3/4,3,0.124854
11300,3/4,4,0.128814
11303,3/4,91,0.147773
11304,3/4,508,0.113933
11305,3/4,413,0.11301
11306,3/4,4,0.15661
11307,3/4,50,0.104291
11308,3/4,41,0.10134
11309,3/4,195,0.126134
11310,3/4,87,0.099174
11311,3/4,5,0.103013
11312,3/4,6,0.10244
11313,3/4,3,0.085459
11314,3/4,293,0.081125
11315,3/4,68,0.085299
11316,3/4,4,0.074924
11317,3/4,1365,0.106366
11318,3/4,438,0.099963
11322,3/4,72,0.093981
11323,3/4,176,0.044213
11325,3/4,5,0.037636
11327,3/4,33,0.02307
11328,3/4,2,0.026532
11329,3/4,27,0.033101
11330,3/4,4,0.116784
11370,3/4,5,0.070615
11371,3/4,11,0.073025
11372,3/4,6,0.086761
11376,3/4,11,0.076926
11377,3/4,27,0.083668
11378,3/4,48,0.079268
11379,3/4,30,0.08169
11383,3/4,126,0.081971
11384,3/4,98,0.070238
11391,3/4,28,0.040341
11396,3/4,1,0.157044
11397,3/4,939,0.091432
11398,3/4,144,0.097161
11399,3/4,470,0.108124
11400,3/4,282,0.115838
11401,3/4,194,0.115702
11406,3/4,306,0.098469
11408,3/4,24,0.120671
11409,3/4,98,0.060204
11453,3/4,9,0.085747
11456,3/4,100,0.082111
11457,3/4,14,0.074456
11471,3/4,9,0.07159
11475,3/4,31,0.158411
11476,3/4,13,0.169944
11477,3/4,4,0.143305
11478,3/4,94,0.141266
11479,3/4,380,0.136535
11480,3/4,18,0.094197
11481,3/4,671,0.101026
11482,3/4,62,0.116997
11483,3/4,27,0.065754
11484,3/4,43,0.067124
11485,3/4,469,0.084451
11486,3/4,42,0.091134
11487,3/4,249,0.108245
11488,3/4,47,0.101121
11489,3/4,10,0.110674
11490,3/4,3,0.116872
11540,3/4,5,0.069847
11544,3/4,62,0.079554
11545,3/4,60,0.071397
11559,3/4,2,0.100758
11566,3/4,415,0.177587
11568,3/4,241,0.110298
11569,3/4,26,0.145455
11570,3/4,1,0.120445
11571,3/4,576,0.120317
11572,3/4,28,0.103188
11573,3/4,269,0.108836
11574,3/4,356,0.121012
11576,3/4,188,0.08997
11577,3/4,225,0.095808
11578,3/4,170,0.098859
11579,3/4,42,0.118542
11580,3/4,91,0.12518
11646,3/4,120,0.070927
11647,3/4,68,0.083786
11668,3/4,82,0.159142
11670,3/4,325,0.157436
11671,3/4,62,0.16985
11672,3/4,22,0.159663
11673,3/4,2,0.071232
11674,3/4,36,0.089591
11675,3/4,1043,0.100868
11676,3/4,665,0.119228
11677,3/4,239,0.094538
11678,3/4,17,0.125753
11679,3/4,4,0.131567
11680,3/4,2,0.135724
11722,3/4,12,0.065721
11746,3/4,52,0.114443
11747,3/4,140,0.138806
11748,3/4,150,0.142642
11749,3/4,42,0.152925
11750,3/4,29,0.118289
11752,3/4,39,0.104115
11753,3/4,513,0.104544
11754,3/4,43,0.15374
11755,3/4,6,0.145068
11756,3/4,25,0.096577
11757,3/4,36,0.093794
11842,3/4,81,0.146882
11843,3/4,250,0.222935
11844,3/4,63,0.166204
11845,3/4,5,0.114057
11846,3/4,592,0.123885
11847,3/4,13,0.159187
11848,3/4,20,0.200279
11849,3/4,207,0.192055
11850,3/4,132,0.195661
11851,3/4,543,0.112776
11852,3/4,27,0.110461
11943,3/4,817,0.145048
11944,3/4,133,0.163577
11945,3/4,15,0.158437
11946,3/4,57,0.15383
11947,3/4,10,0.140384
11948,3/4,32,0.149799
11949,3/4,31,0.113378
11950,3/4,2,0.122984
11951,3/4,97,0.143745
11952,3/4,175,0.155122
12041,3/4,33,0.138062
12042,3/4,47,0.133932
12043,3/4,12,0.176724
12044,3/4,55,0.131998
12045,3/4,35,0.151781
12046,3/4,3,0.207637
12047,3/4,71,0.200834
12048,3/4,28,0.1132
12093,3/4,86,0.048559
12114,3/4,1,0.153809
12115,3/4,4,0.149372
12116,3/4,50,0.200554
12117,3/4,91,0.173447
12186,3/4,2,0.152886
12187,3/4,131,0.168344
12189,3/4,52,0.146632
12190,3/4,2,0.179731
12227,3/4,146,0.043233
12248,3/4,41,0.118215
12249,3/4,6,0.130185
12250,3/4,386,0.127464
12251,3/4,213,0.129579
12318,3/4,156,0.129123
12321,3/4,93,0.135105
12389,3/4,7,0.114814
12392,3/4,75,0.122441
14027,3/4,1841,0.096893
14028,3/4,202,0.245941
14043,3/4,1764,0.021731
14044,3/4,22,0.01167
14045,3/4,21,0.025389
14046,3/4,43,0.049953
14047,3/4,3,0.011838
14048,3/4,40,0.011835
14049,3/4,35,0.045387
14050,3/4,30,0.060928
14052,3/4,21,0.020137
14053,3/4,31,0.037323
14054,3/4,6,0.043565
14055,3/4,22,0.030079
14056,3/4,21,0.019994
14057,3/4,33,0.021559
14058,3/4,27,0.014929
14059,3/4,32,0.053243
14066,3/4,6,0.073179
14068,3/4,34,0.073153
14072,3/4,21,0.014602
14076,3/4,28,0.031175
14077,3/4,24,0.021647
14078,3/4,27,0.076689
14080,3/4,21,0.007662
14082,3/4,27,0.050711
14083,3/4,10,0.024431
14084,3/4,54,0.074359
14085,3/4,42,0.076493
14086,3/4,28,0.074968
14090,3/4,6,0.049999
14093,3/4,10,0.144603
14094,3/4,34,0.082031
14096,3/4,66,0.223348
14097,3/4,2,0.148178
14098,3/4,30,0.095876
14101,3/4,23,0.080224
14102,3/4,5,0.07815
14104,3/4,46,0.051161
14106,3/4,20,0.029262
14110,3/4,138,0.066762
14111,3/4,1,0.084842
14112,3/4,24,0.094659
14116,3/4,51,0.137103
14117,3/4,37,0.07157
14118,3/4,3,0.046523
14126,3/4,22,0.09527
14129,3/4,111,0.108233
14130,3/4,46,0.087961
14131,3/4,47,0.049828
14132,3/4,25,0.080605
14133,3/4,42,0.0547
14134,3/4,38,0.108456
14135,3/4,20,0.090255
14136,3/4,40,0.076128
14137,3/4,39,0.076371
14138,3/4,15,0.072508
14139,3/4,34,0.03279
14140,3/4,44,0.032574
14142,3/4,6,0.050052
14143,3/4,10,0.070978
14144,3/4,27,0.066382
14147,3/4,6,0.082722
14148,3/4,6,0.08791
14149,3/4,6,0.086003
14150,3/4,110,0.130155
14151,3/4,40,0.07224
14154,3/4,35,0.023577
14156,3/4,47,0.026803
14158,3/4,63,0.092783
14159,3/4,4,0.061799
14161,3/4,35,0.113703
14162,3/4,36,0.081355
14163,3/4,35,0.130024
14164,3/4,29,0.09538
14172,3/4,43,0.122704
14173,3/4,46,0.09268
14175,3/4,304,0.109794
14176,3/4,17,0.107996
14177,3/4,5,0.105263
14178,3/4,41,0.106706
14179,3/4,5,0.106632
