featid,tile,cells_5,tr_tp_5m_100m_41_mean_diff,tr_tp_5m_100m_41_sd
10540,3/4,65,0.523855,1.924962
10541,3/4,78,0.732858,1.72035
10542,3/4,323,-1.752544,3.911139
10547,3/4,82,-1.732903,6.845181
10551,3/4,101,-2.453268,5.320801
10552,3/4,761,-0.600453,6.923634
10553,3/4,660,1.458232,4.742667
10554,3/4,115,0.095911,4.886839
10555,3/4,208,0.742986,4.555608
10556,3/4,54,0.032893,3.59407
10557,3/4,25,-7.844704,6.447561
10558,3/4,57,3.294074,5.298729
10559,3/4,9,2.855062,5.992464
10560,3/4,2,2.191852,4.685568
10561,3/4,4,1.938117,4.477434
10562,3/4,82,3.90705,5.919092
10563,3/4,6,0.320303,4.535563
10564,3/4,43,-0.506354,4.219436
10565,3/4,215,0.318736,4.514009
10566,3/4,76,0.75316,5.148025
10567,3/4,548,1.669182,5.432407
10568,3/4,9,-6.258628,6.074923
10569,3/4,16,1.786478,6.001348
10570,3/4,36,1.046596,4.224229
10571,3/4,6,-1.128455,3.375677
10574,3/4,591,-3.979171,6.178075
10575,3/4,38,-0.902304,6.493669
10576,3/4,724,0.278303,6.711762
10578,3/4,54,-1.225493,7.352032
10579,3/4,70,1.442933,6.942554
10580,3/4,104,1.400623,6.816551
10582,3/4,292,3.438563,14.572081
10583,3/4,26,-7.417399,12.016612
10584,3/4,5,-0.238961,7.174715
10585,3/4,339,-0.392928,6.903482
10586,3/4,81,0.19819,7.24962
10587,3/4,25,-1.846727,9.050498
10588,3/4,13,2.42155,8.503754
10589,3/4,5,-2.211265,8.768617
10590,3/4,250,-4.914851,9.807887
10591,3/4,379,-0.053617,2.682679
10592,3/4,18,-0.847599,3.155206
10593,3/4,44,0.576803,1.5787
10595,3/4,54,0.84765,1.987685
10596,3/4,47,-1.183362,2.30209
10597,3/4,129,-0.779392,2.560894
10601,3/4,454,-1.260554,6.51283
10603,3/4,214,0.305462,6.171294
10604,3/4,32,1.19039,5.665058
10605,3/4,58,0.010336,5.757502
10606,3/4,823,0.095168,6.280924
10607,3/4,185,-0.030602,4.071311
10608,3/4,914,-0.489702,4.383267
10609,3/4,271,-2.156606,6.127968
10610,3/4,404,1.097748,5.882032
10611,3/4,13,-9.427847,6.016189
10612,3/4,46,3.201062,5.225647
10613,3/4,3,0.15218,4.298475
10614,3/4,29,1.481428,4.594829
10615,3/4,127,-7.958283,6.216196
10616,3/4,131,0.916374,5.688165
10617,3/4,163,2.126225,6.394494
10618,3/4,167,4.020584,6.088019
10619,3/4,8,4.771474,6.006349
10620,3/4,4,-0.342053,3.384503
10621,3/4,162,2.047403,4.644184
10622,3/4,93,-4.630367,5.888493
10623,3/4,103,-7.118003,5.79665
10624,3/4,5,0.934222,4.704053
10625,3/4,169,1.828754,5.299218
10626,3/4,287,-1.436419,6.028853
10627,3/4,173,1.720826,7.487813
10628,3/4,536,0.046869,7.031376
10629,3/4,31,2.67035,6.476393
10630,3/4,50,2.368181,6.354
10631,3/4,4,2.896339,6.66415
10632,3/4,77,5.447845,10.843302
10633,3/4,108,3.006493,11.121206
10634,3/4,241,-1.773606,9.274358
10635,3/4,6,0.562271,6.958635
10636,3/4,1,0.901209,7.682617
10637,3/4,264,-3.382258,11.566151
10638,3/4,238,-4.292919,15.935068
10639,3/4,30,-0.845324,8.839111
10640,3/4,65,1.157322,9.152889
10641,3/4,23,-5.770671,11.85769
10642,3/4,18,2.506091,9.126371
10643,3/4,178,-1.737931,21.537335
10644,3/4,29,-6.197233,17.151329
10645,3/4,226,-4.005807,23.569398
10646,3/4,214,7.139826,24.555072
10648,3/4,54,-0.690335,2.70386
10649,3/4,41,-1.805433,3.053793
10650,3/4,453,-0.340913,2.108647
10651,3/4,17,1.072951,2.091616
10652,3/4,506,2.134875,3.751227
10659,3/4,351,-0.340469,4.990364
10661,3/4,2492,-0.640202,16.180192
10662,3/4,6,-1.895362,4.420376
10663,3/4,182,1.405386,6.16985
10664,3/4,44,0.716733,6.038182
10665,3/4,55,1.639347,5.413701
10666,3/4,208,-0.753236,7.132445
10667,3/4,65,-0.726765,4.717494
10668,3/4,360,-0.484977,5.568212
10669,3/4,67,0.148985,3.763923
10670,3/4,420,-0.622037,4.087079
10671,3/4,128,-0.536924,4.391917
10672,3/4,89,1.072057,5.402515
10673,3/4,73,1.481927,5.45249
10674,3/4,353,1.183497,3.981507
10675,3/4,110,-1.198041,4.477241
10676,3/4,184,0.406601,4.043785
10677,3/4,32,3.714156,6.268349
10678,3/4,15,4.701818,5.948563
10680,3/4,182,3.953199,5.461551
10681,3/4,242,-3.325275,4.400156
10682,3/4,10,-4.453346,6.135701
10683,3/4,139,0.776899,4.648661
10684,3/4,22,0.070928,6.405643
10685,3/4,164,1.084526,6.90265
10686,3/4,80,1.520282,6.446519
10687,3/4,10,1.955198,6.33348
10688,3/4,80,-8.350627,12.903905
10689,3/4,13,0.391783,8.087814
10690,3/4,11,0.277088,7.747949
10691,3/4,24,-4.329997,12.808911
10692,3/4,260,1.894299,16.509662
10693,3/4,195,-3.498065,12.197184
10694,3/4,18,1.243966,10.004598
10695,3/4,21,-4.005528,18.627884
10696,3/4,176,15.623915,21.847378
10697,3/4,99,-3.540963,9.486741
10698,3/4,94,-1.685406,4.080717
10699,3/4,118,1.840949,2.779799
10700,3/4,4,-1.767619,2.908441
10701,3/4,20,-0.115618,1.532039
10702,3/4,53,1.128059,2.102594
10703,3/4,80,2.574131,4.289445
10710,3/4,4,0.769714,7.648891
10711,3/4,68,3.021612,6.866648
10713,3/4,196,6.765412,14.880735
10714,3/4,3,-1.751843,4.253057
10716,3/4,746,-0.999281,6.911762
10717,3/4,479,-0.542435,7.337288
10718,3/4,80,-2.680929,6.871367
10719,3/4,40,-0.293561,5.806043
10720,3/4,18,-1.166096,4.506998
10721,3/4,1,-1.248291,4.793391
10722,3/4,224,-0.629492,4.335978
10723,3/4,219,-0.148428,3.752443
10724,3/4,20,0.011526,3.62999
10725,3/4,182,-0.043666,4.34283
10726,3/4,27,0.086057,4.666812
10727,3/4,40,2.44331,6.43425
10728,3/4,52,0.891103,4.986774
10729,3/4,48,-1.070284,4.488063
10730,3/4,8,0.914767,3.981446
10732,3/4,46,0.397981,3.910305
10733,3/4,32,4.660707,6.011978
10734,3/4,100,4.489791,6.003709
10735,3/4,34,5.027099,5.581487
10736,3/4,26,2.927616,5.298757
10737,3/4,297,2.236287,4.311909
10738,3/4,128,1.571789,4.757024
10739,3/4,83,-6.476438,5.344241
10740,3/4,128,1.533987,5.619299
10741,3/4,379,0.034715,6.973636
10742,3/4,312,0.15022,7.082766
10743,3/4,127,-1.882242,6.217152
10744,3/4,409,-0.476528,6.603187
10745,3/4,478,5.704616,10.809162
10746,3/4,57,-6.495033,12.872058
10747,3/4,2,-1.741982,7.401097
10748,3/4,28,-3.560674,9.574303
10749,3/4,10,-0.92258,6.654445
10750,3/4,1,0.388414,7.967417
10751,3/4,23,-0.186348,7.588733
10752,3/4,128,-0.182306,7.325323
10753,3/4,16,0.414658,7.65789
10754,3/4,650,3.803867,10.139464
10755,3/4,37,-2.794756,12.571841
10756,3/4,31,-2.124374,12.157785
10757,3/4,157,-3.476555,13.738894
10758,3/4,3,0.168577,10.279741
10759,3/4,6,0.621516,10.255622
10760,3/4,6,2.087185,9.822508
10761,3/4,85,-2.606573,14.029043
10762,3/4,56,-3.631489,17.043698
10763,3/4,11,8.866515,22.120309
10764,3/4,441,-4.775986,18.749628
10765,3/4,82,10.493052,19.271628
10766,3/4,72,4.867074,25.704112
10767,3/4,94,-6.60771,13.525262
10768,3/4,160,-0.107783,2.639692
10769,3/4,90,1.926048,3.073501
10770,3/4,9,-0.630434,3.241893
10771,3/4,166,0.288168,3.041132
10772,3/4,76,-1.086382,2.662024
10773,3/4,310,0.692181,2.474391
10781,3/4,49,-0.327087,8.024559
10782,3/4,195,1.08801,8.688179
10783,3/4,34,1.948495,6.256737
10784,3/4,32,0.722371,7.587838
10785,3/4,223,-1.244573,7.906714
10786,3/4,176,0.86032,8.042285
10787,3/4,3,0.685074,6.076889
10788,3/4,4,-1.169061,4.297294
10789,3/4,2,-0.106898,3.695347
10790,3/4,35,-0.086078,3.825647
10791,3/4,1,-0.373334,4.626212
10792,3/4,189,-0.596678,5.11932
10794,3/4,81,-0.013825,4.647218
10795,3/4,2,-0.293818,4.043683
10796,3/4,302,0.120405,3.970418
10797,3/4,7,-0.152927,3.744938
10798,3/4,25,-0.120945,3.880851
10799,3/4,27,0.615492,4.3533
10800,3/4,38,-0.073204,4.463329
10801,3/4,24,-0.793294,4.380086
10802,3/4,207,-0.768263,4.773987
10803,3/4,99,-0.308512,5.665937
10804,3/4,363,-0.588524,4.567883
10805,3/4,38,0.435617,4.170773
10806,3/4,376,0.598864,4.215483
10807,3/4,19,0.366686,4.039809
10808,3/4,119,1.668131,4.737864
10809,3/4,30,1.796828,4.98861
10810,3/4,63,0.411064,4.297598
10811,3/4,24,-1.363789,3.573614
10812,3/4,44,-4.072488,4.996077
10813,3/4,13,0.356293,5.107073
10815,3/4,133,1.640864,4.843738
10816,3/4,318,-0.053467,7.225342
10817,3/4,1088,0.991654,6.426048
10818,3/4,68,1.11113,6.520619
10819,3/4,98,-2.570722,6.303352
10820,3/4,31,9.013782,12.228423
10821,3/4,45,6.558107,13.45298
10822,3/4,35,-4.724331,15.525242
10823,3/4,3,-4.249752,13.748116
10824,3/4,20,-1.298907,12.468011
10825,3/4,834,7.90732,13.851642
10826,3/4,861,-1.361748,21.607705
10827,3/4,65,-9.091542,22.518614
10828,3/4,71,-2.325014,7.145705
10829,3/4,36,-1.883751,3.951816
10830,3/4,107,1.410225,2.523613
10831,3/4,343,0.840809,1.976363
10832,3/4,34,-0.236626,1.900275
10833,3/4,4,-0.696886,2.216453
10835,3/4,41,-0.771018,2.539036
10836,3/4,43,2.434389,3.30821
10837,3/4,5,-1.833485,4.055244
10838,3/4,3,-1.664392,4.125272
10839,3/4,140,-2.566479,4.010189
10849,3/4,489,0.506095,8.278393
10850,3/4,45,-0.225897,7.914947
10851,3/4,166,0.760777,8.770332
10852,3/4,19,-0.131758,6.850252
10853,3/4,36,0.594419,7.191174
10854,3/4,350,0.715367,5.90935
10855,3/4,1130,0.002438,5.499738
10856,3/4,153,0.462603,4.813241
10857,3/4,11,-0.837793,4.923345
10858,3/4,2,-0.380594,4.367508
10859,3/4,46,-0.146138,4.035882
10860,3/4,1,-0.171265,4.008846
10861,3/4,84,-0.461164,4.04288
10862,3/4,90,0.020233,3.971466
10863,3/4,12,-0.204832,3.813892
10864,3/4,88,-0.088921,3.738124
10865,3/4,2,-1.043445,4.270593
10866,3/4,58,-0.270704,4.252874
10867,3/4,378,-0.836458,4.53832
10868,3/4,10,-0.230926,6.017625
10869,3/4,72,-0.192384,3.930118
10870,3/4,20,0.218061,4.101787
10871,3/4,411,-0.650022,4.288377
10872,3/4,175,0.297781,4.339205
10874,3/4,48,2.332981,5.70472
10875,3/4,22,4.007588,5.764261
10876,3/4,117,0.830065,4.567823
10877,3/4,612,-0.077936,4.426922
10878,3/4,68,0.29292,4.104383
10879,3/4,456,-0.369391,3.372185
10880,3/4,57,-3.071499,3.499977
10881,3/4,41,-0.872146,2.837498
10882,3/4,4,-0.755304,4.825326
10883,3/4,155,1.70877,4.58355
10884,3/4,27,2.937046,5.139686
10885,3/4,56,-0.102032,4.030661
10886,3/4,6,0.180675,4.310165
10887,3/4,156,-1.145671,6.14165
10888,3/4,6,-1.281332,7.072669
10889,3/4,692,0.85358,6.623682
10890,3/4,53,-0.051038,6.233593
10891,3/4,112,0.209823,7.233112
10892,3/4,255,-0.985626,5.653378
10893,3/4,56,-0.311599,8.980463
10894,3/4,22,-0.499221,7.595369
10896,3/4,3,-5.463995,14.887973
10897,3/4,23,-8.933184,17.854712
10898,3/4,266,3.364277,17.734868
10899,3/4,58,8.360158,13.208811
10900,3/4,268,-6.617141,19.00106
10901,3/4,73,-4.116638,16.806216
10902,3/4,166,-0.925553,2.508689
10903,3/4,5,-2.019796,4.141844
10905,3/4,71,-0.430583,3.213303
10907,3/4,49,-0.09276,2.827856
10909,3/4,114,1.186782,2.264566
10910,3/4,6,-0.447597,1.494331
10911,3/4,40,2.045093,4.17482
10927,3/4,35,0.152502,8.854034
10928,3/4,106,-0.02403,8.500526
10931,3/4,25,-0.236857,7.510087
10932,3/4,97,0.020502,6.029796
10933,3/4,40,-0.409829,4.299327
10934,3/4,97,0.11087,3.733138
10935,3/4,13,0.344479,3.584726
10936,3/4,23,1.091371,3.698428
10937,3/4,5,0.796973,4.325086
10938,3/4,3,0.803513,4.287976
10939,3/4,1,-0.137082,4.228684
10940,3/4,110,-0.83145,3.79412
10941,3/4,21,-0.221594,3.979102
10942,3/4,70,0.201381,4.484653
10943,3/4,66,-0.412967,4.811286
10944,3/4,204,-0.993534,5.155794
10945,3/4,39,-0.498636,4.309621
10946,3/4,33,-0.035675,4.27604
10947,3/4,464,0.796745,4.763
10948,3/4,192,1.21191,4.990778
10949,3/4,3,3.772784,6.010047
10950,3/4,31,3.480167,5.865647
10951,3/4,42,0.825716,4.741796
10952,3/4,9,0.198956,4.52069
10953,3/4,5,0.04762,4.433382
10954,3/4,8,-0.036854,4.510869
10955,3/4,56,-1.0186,3.832701
10956,3/4,77,-0.471557,3.021811
10957,3/4,24,-2.267492,2.736946
10958,3/4,80,-1.021949,4.118429
10959,3/4,26,2.82892,4.941309
10960,3/4,33,2.828762,5.008365
10961,3/4,3,-0.219079,4.240496
10962,3/4,195,-1.041832,4.044126
10963,3/4,20,-3.006483,6.777784
10964,3/4,17,-0.114631,7.221489
10965,3/4,82,1.180394,7.030348
10966,3/4,68,1.269696,7.391421
10967,3/4,183,1.382581,6.872509
10968,3/4,50,-0.001836,7.044028
10969,3/4,12,-2.248967,6.026092
10970,3/4,7,1.206454,6.222903
10971,3/4,10,-6.066921,5.726079
10972,3/4,10,-5.604879,5.875343
10973,3/4,44,-0.362728,5.656176
10974,3/4,4,0.138866,8.14865
10975,3/4,55,5.650088,13.218057
10976,3/4,108,-9.373388,17.463746
10977,3/4,23,6.313653,13.427172
10978,3/4,217,3.657576,12.140273
10979,3/4,179,6.682432,12.869593
10980,3/4,582,0.035461,19.756813
10981,3/4,310,-10.042464,16.052241
10982,3/4,22,-2.002335,3.687362
10983,3/4,61,-4.596796,9.305245
10984,3/4,11,0.625117,2.881266
10985,3/4,18,-0.080736,2.899456
10987,3/4,40,-0.405526,2.924654
10989,3/4,4,-0.961952,2.542044
10990,3/4,84,-0.85918,1.743603
10991,3/4,107,3.207192,3.45831
10992,3/4,10,1.138445,3.845462
11009,3/4,3,-0.473052,7.873097
11010,3/4,16,-1.008182,7.566373
11011,3/4,7,-0.70796,8.873274
11012,3/4,38,-0.581301,7.209019
11013,3/4,52,0.665565,8.426303
11015,3/4,23,-0.350817,6.456984
11016,3/4,41,0.022519,6.448827
11017,3/4,12,-0.391939,6.455718
11018,3/4,195,0.633673,5.68508
11019,3/4,1,1.25864,5.97947
11020,3/4,28,0.486476,5.943591
11021,3/4,220,0.180594,4.838857
11022,3/4,44,-0.513837,4.734659
11023,3/4,56,-0.652866,4.521714
11024,3/4,28,0.481781,4.237836
11025,3/4,346,0.238632,4.183678
11026,3/4,24,-0.004651,3.829349
11027,3/4,42,0.351561,3.943072
11028,3/4,156,0.581802,4.508007
11030,3/4,12,-0.00323,4.027045
11031,3/4,76,1.255891,3.857265
11032,3/4,19,-0.286134,4.060394
11034,3/4,511,-0.707907,4.430232
11036,3/4,329,-0.073697,4.283815
11037,3/4,57,-1.436147,3.309344
11038,3/4,5,-0.871516,3.293135
11039,3/4,30,-0.87865,3.326924
11040,3/4,4,-0.291503,2.130619
11041,3/4,6,0.287119,1.997476
11042,3/4,3,-1.489326,2.401037
11043,3/4,27,-1.659763,2.959295
11044,3/4,18,-0.26303,3.736716
11045,3/4,65,2.063614,4.240048
11046,3/4,109,-1.3234,3.895248
11048,3/4,116,-0.732915,6.102317
11049,3/4,2,-0.91571,7.015961
11050,3/4,222,2.555662,7.544321
11051,3/4,88,1.287209,7.278821
11052,3/4,56,0.818327,6.319186
11053,3/4,99,1.138881,6.842002
11054,3/4,48,-2.644207,5.594821
11055,3/4,163,0.553393,7.628654
11056,3/4,70,5.68645,13.478112
11057,3/4,156,-0.724344,7.192809
11058,3/4,46,3.405416,10.091918
11059,3/4,940,3.67492,11.878982
11060,3/4,1882,-0.540513,14.546894
11061,3/4,111,-4.616322,7.560699
11062,3/4,5,-3.881996,6.092133
11063,3/4,131,-2.169345,3.986586
11064,3/4,415,0.254465,1.832483
11066,3/4,7,0.233466,2.73744
11067,3/4,5,0.463979,2.826434
11068,3/4,27,-0.505403,2.687426
11069,3/4,48,-0.342017,2.603782
11070,3/4,3,-0.250197,1.603509
11072,3/4,58,0.540724,2.920168
11073,3/4,60,-1.824786,3.558987
11074,3/4,35,0.600281,3.637942
11075,3/4,5,-3.938833,4.101918
11097,3/4,39,-1.831196,8.84961
11098,3/4,33,-2.919261,8.85106
11102,3/4,7,1.255165,5.892691
11103,3/4,8,0.65616,5.814333
11104,3/4,12,0.266486,4.771012
11105,3/4,3,0.269914,4.726216
11106,3/4,322,-0.14314,4.527135
11107,3/4,21,-0.727941,4.726535
11108,3/4,120,-0.818397,4.019204
11109,3/4,67,-0.159349,4.536829
11110,3/4,5,0.496312,4.431483
11111,3/4,69,0.159831,3.707891
11112,3/4,18,0.450806,3.513966
11113,3/4,82,1.198122,3.455685
11114,3/4,23,0.587579,4.074004
11115,3/4,103,0.022404,3.527396
11116,3/4,79,1.527142,3.538188
11117,3/4,13,-1.787501,4.110024
11118,3/4,38,-0.147157,5.342479
11120,3/4,24,1.018673,5.317008
11121,3/4,130,-0.46074,4.168157
11122,3/4,10,-1.196973,4.277214
11123,3/4,41,-1.220226,2.58986
11124,3/4,22,1.098949,1.879796
11125,3/4,159,-0.591546,2.472937
11126,3/4,15,0.967259,4.02675
11127,3/4,30,1.502286,4.08354
11128,3/4,44,-1.547204,3.855857
11129,3/4,3,-2.516545,6.830249
11130,3/4,22,-2.126143,6.675792
11131,3/4,7,-1.008896,6.985317
11133,3/4,39,1.029236,6.830277
11134,3/4,345,0.963206,6.411389
11135,3/4,51,1.172863,7.017651
11136,3/4,11,0.310417,6.298426
11137,3/4,7,-2.921048,5.776786
11138,3/4,51,-1.985822,6.17761
11140,3/4,37,1.332666,7.733919
11141,3/4,65,-1.630352,6.020619
11142,3/4,36,5.434286,13.923537
11143,3/4,19,-9.508039,17.167643
11144,3/4,72,-9.413178,17.229928
11145,3/4,173,-0.192105,7.984517
11146,3/4,93,-0.902193,5.426467
11147,3/4,9,2.926768,9.762879
11148,3/4,127,2.775921,8.951812
11149,3/4,188,-3.368281,14.661875
11150,3/4,37,-1.637719,6.493042
11151,3/4,46,-4.712304,8.159999
11152,3/4,15,-0.583522,1.781041
11153,3/4,3,2.267988,1.925033
11154,3/4,40,1.760891,1.718017
11155,3/4,13,-0.05641,2.644638
11156,3/4,43,-0.394218,2.479419
11157,3/4,40,0.02259,2.242944
11158,3/4,16,-0.230618,2.482574
11159,3/4,13,-1.090438,2.451942
11161,3/4,130,0.585268,3.875933
11162,3/4,19,2.556526,3.415142
11163,3/4,128,-2.064023,3.665284
11189,3/4,10,-1.154446,5.768494
11190,3/4,69,0.711346,5.629938
11191,3/4,4,-0.146793,6.461781
11192,3/4,42,0.229137,4.744484
11193,3/4,27,0.225205,4.805189
11194,3/4,74,0.140845,4.822186
11196,3/4,20,0.370119,3.504305
11197,3/4,11,0.497526,3.441395
11198,3/4,21,0.254045,3.377108
11199,3/4,537,-0.526924,4.84616
11200,3/4,36,-1.740407,4.704513
11201,3/4,149,-0.493062,4.476561
11202,3/4,63,-1.914562,4.346465
11204,3/4,57,-0.544247,2.181436
11205,3/4,16,0.555717,3.846487
11206,3/4,13,-0.509999,3.882406
11207,3/4,17,0.021313,3.842893
11211,3/4,7,-0.387942,6.571458
11212,3/4,5,-0.738701,6.675693
11213,3/4,2,-0.330228,6.883156
11216,3/4,312,-0.006793,6.401043
11217,3/4,3,0.340679,6.471008
11218,3/4,66,-0.689639,6.536363
11219,3/4,587,0.590059,6.208873
11220,3/4,15,-0.323593,6.619229
11221,3/4,8,-5.012432,5.738958
11222,3/4,58,0.366456,6.777332
11224,3/4,38,-1.870058,6.443272
11225,3/4,43,-1.265412,6.70522
11226,3/4,36,-10.905982,17.388693
11227,3/4,585,0.898505,5.822897
11228,3/4,11,0.436863,4.78779
11229,3/4,11,0.002522,5.429203
11230,3/4,223,0.138615,5.836828
11231,3/4,171,1.161652,9.419611
11232,3/4,332,-0.040026,7.891452
11234,3/4,366,-2.427186,5.708248
11235,3/4,56,-1.088626,4.402059
11236,3/4,96,-0.559574,7.373484
11237,3/4,105,-2.786528,6.691944
11238,3/4,142,-1.733331,5.636003
11240,3/4,85,-1.856698,4.460586
11241,3/4,55,0.344774,2.120027
11242,3/4,31,0.08739,2.225255
11243,3/4,24,-0.742616,2.302133
11244,3/4,45,-0.425714,2.33553
11245,3/4,48,-0.780417,2.042167
11246,3/4,72,0.28839,3.274318
11247,3/4,42,2.608356,3.480945
11278,3/4,16,-0.961775,6.61023
11279,3/4,50,-0.349114,5.297494
11280,3/4,79,-0.200215,4.819229
11281,3/4,91,-0.387228,4.364891
11286,3/4,63,-0.849794,4.620209
11287,3/4,96,-0.601335,4.369027
11288,3/4,54,-0.900972,4.543842
11291,3/4,18,0.786794,1.795609
11293,3/4,27,0.159046,3.788992
11294,3/4,31,-1.29517,3.837206
11295,3/4,8,-1.676321,3.885839
11298,3/4,27,0.131241,6.215695
11299,3/4,3,0.503553,6.640402
11300,3/4,4,1.026233,6.681087
11303,3/4,91,-1.099456,7.773651
11304,3/4,508,0.803196,7.329378
11305,3/4,413,2.050967,6.225998
11306,3/4,4,-0.541984,5.846193
11307,3/4,50,-0.839514,5.594025
11308,3/4,41,-0.328631,6.419781
11309,3/4,195,0.759077,7.627147
11310,3/4,87,-2.025766,6.880193
11311,3/4,5,-0.01585,6.246716
11312,3/4,6,-0.174292,6.207871
11313,3/4,3,-0.256617,4.581967
11314,3/4,293,-0.659508,6.130418
11315,3/4,68,0.28597,6.819561
11316,3/4,4,-0.141371,6.60352
11317,3/4,1365,0.200988,7.488796
11318,3/4,438,-0.625108,7.068981
11322,3/4,72,0.424659,6.267491
11323,3/4,176,0.237514,3.114853
11325,3/4,5,0.083583,2.326708
11327,3/4,33,-0.54368,1.694786
11328,3/4,2,-0.573606,1.893956
11329,3/4,27,-1.38358,2.38573
11330,3/4,4,-3.538566,4.185479
11370,3/4,5,-1.26808,5.822322
11371,3/4,11,-0.244027,5.840578
11372,3/4,6,-0.295014,5.790468
11376,3/4,11,0.201771,4.822084
11377,3/4,27,-1.228132,4.687108
11378,3/4,48,-0.973309,4.810169
11379,3/4,30,0.038435,5.649477
11383,3/4,126,-0.844912,4.688602
11384,3/4,98,-0.604454,4.34541
11391,3/4,28,-0.541916,2.519252
11396,3/4,1,0.322239,7.814187
11397,3/4,939,-0.017159,5.99125
11398,3/4,144,0.66903,6.007608
11399,3/4,470,0.272723,7.431299
11400,3/4,282,0.543981,7.564485
11401,3/4,194,-0.080567,7.714236
11406,3/4,306,1.782417,4.997898
11408,3/4,24,1.20382,4.186647
11409,3/4,98,1.858241,3.998878
11453,3/4,9,-0.06293,5.946469
11456,3/4,100,0.473943,4.827655
11457,3/4,14,-0.797571,4.676308
11471,3/4,9,-0.894408,3.797197
11475,3/4,31,-4.300059,7.723637
11476,3/4,13,-2.751475,7.792756
11477,3/4,4,1.53274,7.848619
11478,3/4,94,2.231315,7.931392
11479,3/4,380,-0.811308,7.443479
11480,3/4,18,-0.329701,6.268515
11481,3/4,671,0.649179,6.819893
11482,3/4,62,-1.839624,7.378912
11483,3/4,27,1.296532,5.860817
11484,3/4,43,1.088503,5.055818
11485,3/4,469,-0.085306,6.100362
11486,3/4,42,-1.638901,6.988922
11487,3/4,249,0.891086,7.084883
11488,3/4,47,0.370751,7.660632
11489,3/4,10,0.823863,7.599873
11490,3/4,3,0.263922,8.608801
11540,3/4,5,0.697341,5.878014
11544,3/4,62,-0.324728,5.757875
11545,3/4,60,-0.807543,5.050812
11559,3/4,2,0.827891,5.508562
11566,3/4,415,-5.174428,7.893577
11568,3/4,241,0.739363,6.805329
11569,3/4,26,0.104851,7.682867
11570,3/4,1,0.736493,6.626546
11571,3/4,576,1.895494,7.412676
11572,3/4,28,0.151889,7.117181
11573,3/4,269,-0.02217,7.620718
11574,3/4,356,-1.205756,7.509581
11576,3/4,188,0.320581,6.391941
11577,3/4,225,0.464417,6.689652
11578,3/4,170,-0.450677,7.469809
11579,3/4,42,-1.387083,7.63297
11580,3/4,91,0.474581,8.273333
11646,3/4,120,0.135271,4.944266
11647,3/4,68,-0.400579,4.998768
11668,3/4,82,1.875603,8.011261
11670,3/4,325,-4.823599,8.011173
11671,3/4,62,-2.205312,8.383863
11672,3/4,22,2.928684,7.958555
11673,3/4,2,0.445328,5.600281
11674,3/4,36,0.148615,5.751099
11675,3/4,1043,0.18158,7.003734
11676,3/4,665,1.824828,7.698224
11677,3/4,239,0.657562,6.96757
11678,3/4,17,-0.410533,7.512715
11679,3/4,4,0.318971,8.041125
11680,3/4,2,-1.619054,7.848985
11722,3/4,12,-0.262314,5.168661
11746,3/4,52,0.607298,7.162167
11747,3/4,140,-0.697699,7.823994
11748,3/4,150,-7.204077,8.312769
11749,3/4,42,2.135727,8.242402
11750,3/4,29,0.592242,7.803077
11752,3/4,39,0.841956,6.989858
11753,3/4,513,-0.068899,7.290381
11754,3/4,43,2.952413,7.65571
11755,3/4,6,4.024525,7.860623
11756,3/4,25,0.343958,6.65331
11757,3/4,36,0.310848,6.524418
11842,3/4,81,0.545987,8.634053
11843,3/4,250,-4.42761,8.74898
11844,3/4,63,1.58599,8.070801
11845,3/4,5,0.885638,7.8977
11846,3/4,592,1.427386,7.33047
11847,3/4,13,4.983015,8.206848
11848,3/4,20,-6.540358,8.133249
11849,3/4,207,-6.767806,8.754083
11850,3/4,132,-5.149609,7.737378
11851,3/4,543,1.044152,6.896035
11852,3/4,27,1.761245,7.481221
11943,3/4,817,2.142104,8.639045
11944,3/4,133,0.840997,8.379892
11945,3/4,15,1.575586,8.197375
11946,3/4,57,0.649866,8.253556
11947,3/4,10,1.278121,8.702437
11948,3/4,32,2.403178,8.336064
11949,3/4,31,0.170447,7.339519
11950,3/4,2,-0.428464,7.246112
11951,3/4,97,0.662847,7.763906
11952,3/4,175,-5.824778,6.944912
12041,3/4,33,0.922095,8.542356
12042,3/4,47,0.667786,8.377715
12043,3/4,12,1.042065,8.16423
12044,3/4,55,3.812517,8.010475
12045,3/4,35,3.322818,8.669486
12046,3/4,3,-8.077645,8.293389
12047,3/4,71,-4.069323,8.00118
12048,3/4,28,1.119061,6.788921
12093,3/4,86,1.255927,3.497182
12114,3/4,1,0.201803,8.550633
12115,3/4,4,0.936439,8.577855
12116,3/4,50,2.727131,9.162357
12117,3/4,91,-3.922308,6.889157
12186,3/4,2,0.733239,8.593407
12187,3/4,131,3.717113,8.453602
12189,3/4,52,2.794048,8.104057
12190,3/4,2,-2.074043,6.340864
12227,3/4,146,0.376061,2.671734
12248,3/4,41,3.230366,8.292468
12249,3/4,6,3.048821,8.569047
12250,3/4,386,1.841953,7.016796
12251,3/4,213,0.682576,7.473298
12318,3/4,156,0.410357,8.408955
12321,3/4,93,2.985217,7.418554
12389,3/4,7,0.493995,7.412558
12392,3/4,75,2.022121,6.740141
14027,3/4,1841,0.339302,5.924865
14028,3/4,202,8.911887,12.827621
14043,3/4,1764,-1.062227,1.452743
14044,3/4,22,0.237004,0.768239
