featid,tile,cells_5,tr_tp_5m_100m_41_mean_diff,tr_tp_5m_100m_41_sd
9926,3/4,24,-0.891547,1.707861
9927,3/4,26,0.700879,1.225501
9928,3/4,30,0.171419,0.819307
9929,3/4,116,0.079192,1.68419
9930,3/4,22,0.34245,2.056139
9931,3/4,7,-1.285013,3.074318
9932,3/4,114,-0.258113,1.98877
9934,3/4,173,-0.047666,1.316146
9936,3/4,78,0.23627,1.059719
9937,3/4,24,0.125108,0.914913
9938,3/4,35,-0.800387,1.383762
9939,3/4,39,-3.753767,10.009519
9940,3/4,3,0.824283,2.469277
9941,3/4,26,0.695126,2.391083
9942,3/4,3,-0.720211,3.158653
9943,3/4,19,-1.558393,2.7187
9944,3/4,132,-0.784053,2.693483
9945,3/4,33,-0.640914,1.449194
9946,3/4,84,-0.36731,0.983832
9947,3/4,508,0.067413,1.820625
9948,3/4,367,-3.97031,8.583989
9949,3/4,59,1.59095,2.887286
9950,3/4,6,0.246144,3.261327
9951,3/4,174,-0.530915,3.33337
9952,3/4,71,0.505854,1.499496
9953,3/4,61,0.04742,1.077676
9954,3/4,47,-2.752255,2.195013
9955,3/4,468,-2.573348,2.299187
9956,3/4,1,-2.274517,5.625568
9957,3/4,555,0.183469,1.739832
9958,3/4,350,0.304539,1.320116
9959,3/4,3,0.852973,2.595283
9960,3/4,2,2.634914,3.205034
9961,3/4,85,-1.350918,3.00777
9962,3/4,107,0.207697,1.590946
9963,3/4,99,0.055167,1.286195
9964,3/4,33,-0.387795,1.53208
9965,3/4,185,-0.369136,1.309313
9966,3/4,394,0.120511,1.09614
9967,3/4,903,1.042366,2.113292
9968,3/4,7,1.718665,2.314313
9969,3/4,41,-0.158315,1.98923
9970,3/4,221,-0.175601,2.287746
9971,3/4,361,1.276854,2.181656
9972,3/4,204,1.621064,2.984189
9973,3/4,30,2.083313,3.056048
9974,3/4,13,1.005344,3.297524
9975,3/4,302,-0.900924,2.782659
9976,3/4,179,-0.227957,1.869781
9977,3/4,18,-0.077823,1.99154
9978,3/4,1,-0.290957,2.125398
9979,3/4,1,-0.672229,1.057205
9980,3/4,33,-0.523801,0.906827
9981,3/4,256,-0.443721,1.22148
9982,3/4,74,-0.538267,1.036043
9983,3/4,63,0.664848,2.072223
9984,3/4,12,-0.399992,1.802251
9985,3/4,236,0.138446,1.099051
9986,3/4,66,-2.043775,4.943811
9987,3/4,91,-2.699264,7.764761
9988,3/4,96,-3.479157,8.932424
9989,3/4,156,0.985184,3.076738
9990,3/4,19,2.109574,2.644332
9991,3/4,116,-0.01909,1.841424
9992,3/4,12,-0.998403,2.22705
9993,3/4,6,-0.188511,1.444333
9994,3/4,42,0.367258,1.301597
9995,3/4,19,-0.405703,1.143587
9996,3/4,2,-0.742916,1.125973
9997,3/4,48,0.023672,1.039819
9998,3/4,3,-0.246476,0.956572
9999,3/4,36,0.517215,1.126328
10001,3/4,6,-0.016971,0.990851
10003,3/4,211,0.704984,1.856641
10004,3/4,175,0.248504,1.242887
10005,3/4,214,0.167743,1.390537
10006,3/4,22,-0.928125,2.563618
10007,3/4,5,-0.807472,1.49499
10008,3/4,155,-4.072338,8.223559
10009,3/4,286,0.330499,3.451245
10010,3/4,90,2.178061,2.951201
10011,3/4,85,0.257546,3.620272
10012,3/4,364,0.453144,2.976538
10013,3/4,457,-0.565532,1.345204
10014,3/4,44,1.298583,1.465528
10015,3/4,26,0.070011,1.511401
10017,3/4,52,-0.038654,1.437383
10018,3/4,3,1.061524,1.442374
10019,3/4,160,-0.005329,1.34841
10020,3/4,18,-0.074442,0.958833
10021,3/4,130,0.08968,1.07095
10022,3/4,116,-0.790956,1.073482
10023,3/4,363,0.072556,1.045648
10024,3/4,93,0.507646,1.54834
10025,3/4,33,0.402926,1.266365
10026,3/4,330,-0.939034,0.928952
10027,3/4,190,-0.384884,2.082929
10028,3/4,13,-0.73689,1.700938
10029,3/4,49,-2.050475,5.429624
10030,3/4,189,1.994058,2.992141
10031,3/4,264,-0.472878,3.552182
10032,3/4,40,0.325816,3.73624
10033,3/4,131,-1.789576,3.652438
10034,3/4,23,1.31924,1.786938
10035,3/4,231,0.256709,3.150154
10036,3/4,214,0.416139,3.280196
10037,3/4,3,1.319504,1.456775
10038,3/4,21,1.204665,1.507544
10039,3/4,113,0.164058,1.377539
10040,3/4,7,-0.121176,0.979942
10041,3/4,14,-1.24964,0.951315
10042,3/4,14,-0.886048,0.996569
10043,3/4,79,-0.276506,1.154622
10044,3/4,837,-0.462489,1.613692
10045,3/4,166,0.366729,1.043473
10046,3/4,170,-1.347081,4.424588
10048,3/4,63,1.33338,3.276478
10049,3/4,174,-0.421737,3.263479
10050,3/4,9,-1.00128,3.608382
10051,3/4,30,0.882044,3.789849
